Iteration,Training Loss,Test Loss,Test Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy
23750,0.311275,0.478754,0.645387,0.577267,0.602385,0.938357
24000,0.417623,0.393934,0.750422,0.718899,0.657006,0.884814
24250,0.394064,0.414072,0.80215,0.779235,0.679438,0.875389
24500,0.531971,0.614609,0.775951,0.748295,0.694589,0.874633
24750,0.570322,0.42604,0.855976,0.899359,0.594496,0.560578
25000,0.488326,0.432602,0.780168,0.763108,0.728752,0.783039
25250,0.366044,0.929001,0.813951,0.805144,0.660454,0.834465
25500,0.406413,1.00906,0.555213,0.476199,0.457817,0.947939
25750,0.328141,0.629562,0.376337,0.258078,0.458116,0.949244
26000,0.559372,0.411132,0.810492,0.836993,0.595404,0.623494
26250,0.327063,0.495911,0.769656,0.73437,0.696864,0.885806
26500,0.35769,0.393439,0.71158,0.662631,0.649014,0.912498
26750,0.331152,0.417722,0.799735,0.772316,0.688155,0.880267
27000,0.460349,0.576838,0.765671,0.726294,0.670222,0.898297
27250,0.423838,0.729263,0.747993,0.744465,0.719488,0.683122
27500,0.361379,0.436111,0.506955,0.408877,0.655347,0.951698
27750,0.318847,0.499301,0.703425,0.66481,0.774066,0.817591
28000,0.391307,0.471289,0.681937,0.651045,0.753338,0.816858
28250,0.452148,0.435965,0.747168,0.703156,0.644706,0.898637
28500,0.342478,0.514388,0.847938,0.839124,0.619517,0.870487
28750,0.335716,0.426591,0.670291,0.626159,0.726917,0.872154
29000,0.46364,0.472043,0.74837,0.72067,0.74503,0.822603
29250,0.365668,0.461499,0.787483,0.768195,0.663055,0.811128
29500,0.390182,0.618908,0.638463,0.584494,0.76773,0.896296
29750,0.507617,0.429132,0.644475,0.582471,0.597717,0.936205
30000,0.440286,0.585314,0.818838,0.801519,0.647253,0.883808
30250,0.408828,0.575993,0.778005,0.77619,0.677312,0.679551
30500,0.534532,0.49049,0.791851,0.800913,0.618456,0.717658
30750,0.670043,0.59196,0.865244,0.882391,0.570518,0.726443
31000,0.529705,0.453874,0.729995,0.696503,0.661393,0.890898
31250,0.391552,0.426022,0.797626,0.781126,0.652288,0.831604
31500,0.41539,0.653883,0.78429,0.752651,0.654859,0.885494
31750,0.583135,0.464951,0.814552,0.850493,0.509428,0.567218
32000,0.386699,0.523952,0.79904,0.797278,0.712252,0.752312
32250,0.671547,0.586223,0.665326,0.604086,0.649907,0.932109
32500,0.370166,0.540286,0.766286,0.734208,0.412861,0.901243
32750,0.388289,0.4544,0.676167,0.655571,0.786174,0.649109
33000,0.402362,0.483818,0.846311,0.836662,0.55923,0.865881
33250,0.340083,0.496607,0.743126,0.70868,0.62301,0.906901
33500,0.397222,0.713636,0.700964,0.667573,0.765853,0.789955
33750,0.501372,0.394265,0.886049,0.938545,0.345936,0.643634
34000,0.309936,0.414433,0.777292,0.749714,0.722208,0.867991
34250,0.333742,0.425223,0.732463,0.685415,0.714923,0.90384
34500,0.432259,0.442723,0.766593,0.739479,0.722298,0.838296
34750,0.451574,0.582534,0.858819,0.855006,0.573594,0.857675
35000,0.48832,0.463023,0.674125,0.657974,0.774756,0.699328
35250,0.457451,0.448551,0.70384,0.660468,0.718956,0.876271
35500,0.501108,0.480433,0.654835,0.60987,0.795208,0.809718
35750,0.462494,0.468795,0.720989,0.69212,0.710792,0.790931
36000,0.425116,0.435347,0.810956,0.794566,0.638196,0.844267
36250,0.355349,0.807359,0.79372,0.776402,0.703506,0.80389
36500,0.306148,0.583952,0.479587,0.398507,0.532715,0.925322
36750,0.362486,0.451725,0.701143,0.659772,0.634216,0.889951
37000,0.402753,0.42242,0.747811,0.704395,0.658941,0.895275
37250,0.471208,0.44779,0.84475,0.838805,0.636372,0.823873
37500,0.396537,0.476106,0.734931,0.71071,0.750072,0.802973
37750,0.305134,0.445604,0.642047,0.581207,0.744577,0.901371
38000,0.376315,0.933028,0.736762,0.688437,0.641219,0.9213
38250,0.463304,0.554583,0.691744,0.672835,0.433388,0.861313
38500,0.422231,0.429475,0.650358,0.608193,0.756463,0.749798
38750,0.458886,0.449784,0.736125,0.700591,0.73522,0.852425
39000,0.347528,0.435558,0.67907,0.632742,0.767512,0.863639
39250,0.543599,0.483415,0.771913,0.758747,0.746855,0.757263
39500,0.30003,0.434794,0.706564,0.667148,0.725535,0.835001
39750,0.465878,0.501797,0.774181,0.761227,0.740335,0.783241
40000,0.377161,0.416799,0.633348,0.562311,0.71161,0.928856
40250,0.345545,0.821217,0.741119,0.711426,0.734787,0.838381
40500,0.442495,0.43867,0.676097,0.67016,0.750209,0.575871
40750,0.320256,0.412406,0.718935,0.688694,0.755327,0.811236
41000,0.361253,0.485775,0.812547,0.792906,0.673999,0.849249
41250,0.361564,0.42699,0.867316,0.866569,0.470833,0.858169
41500,0.322528,0.685434,0.790547,0.765401,0.681367,0.876908
41750,0.671561,0.463039,0.635777,0.618886,0.786548,0.611898
42000,0.264097,0.42882,0.785144,0.754001,0.603694,0.900185
42250,0.385856,0.463118,0.762597,0.740737,0.734699,0.792255
42500,0.454749,0.426332,0.747505,0.729928,0.747689,0.782003
42750,0.375191,0.490653,0.680345,0.636937,0.769808,0.845749
43000,0.578782,0.636528,0.677766,0.628874,0.769444,0.853083
43250,0.65274,0.43547,0.782622,0.813936,0.688591,0.518348
43500,0.382081,0.455286,0.756546,0.729117,0.708946,0.824395
43750,0.486898,0.834752,0.868017,0.874731,0.61198,0.785304
44000,0.540715,0.609587,0.618822,0.610847,0.700821,0.561554
44250,0.523773,0.496812,0.634904,0.601751,0.778044,0.667863
44500,0.349261,0.465221,0.782099,0.750979,0.554002,0.912085
44750,0.40849,0.453039,0.630852,0.55396,0.727158,0.92293
45000,0.444872,0.492498,0.716767,0.680332,0.749501,0.82089
45250,0.418588,0.460878,0.816439,0.819978,0.675965,0.712694
45500,0.459699,0.503948,0.711769,0.659427,0.671357,0.904877
45750,0.356299,0.478603,0.724401,0.701753,0.733028,0.752155
46000,0.351425,0.439808,0.70673,0.676325,0.760775,0.781636
46250,0.388141,0.831628,0.686088,0.63668,0.735433,0.858461
46500,0.448287,0.455953,0.623035,0.618451,0.77602,0.543928
46750,0.39097,0.459415,0.823139,0.811347,0.620872,0.840131
47000,0.335675,0.642507,0.85126,0.849492,0.580847,0.845557
47250,0.518298,0.436884,0.731579,0.746297,0.733226,0.532644
47500,0.444878,0.555388,0.802863,0.778552,0.624243,0.899979
47750,0.404882,0.442486,0.801568,0.823324,0.670556,0.616813
48000,0.304333,0.422466,0.795172,0.771028,0.652333,0.886772
48250,0.324008,0.631329,0.78804,0.770115,0.706557,0.796498
48500,0.453925,0.455219,0.847425,0.845181,0.414521,0.882731
48750,0.403534,0.493805,0.678585,0.631587,0.738277,0.86217
49000,0.368295,0.467101,0.643849,0.57605,0.704475,0.925196
49250,0.321462,0.577243,0.832812,0.837568,0.664503,0.747666
49500,0.577824,0.625888,0.653135,0.615759,0.728411,0.727259
49750,0.275571,0.517723,0.886357,0.927959,0.367478,0.649112
